百晓生┃影视,#genre#
喜剧影院,http://123.112.210.212:4022/udp/239.3.1.91:4120
家庭影院,http://123.112.210.212:4022/udp/239.3.1.93:4120
精选,http://123.112.210.212:4022/udp/239.3.1.74:4120
经典电影,http://123.112.210.212:4022/udp/239.3.1.195:9024
纪实人文[高清],http://123.112.210.212:4022/udp/239.3.1.212:8060
金鹰纪实[高清],http://123.112.210.212:4022/udp/239.3.1.58:8156
风尚生活[高清],http://123.112.210.212:4022/udp/239.3.1.114:8001
地理,http://123.112.210.212:4022/udp/239.3.1.71:4120
淘剧场[高清],http://123.112.210.212:4022/udp/239.3.1.95:8001
幸福剧场[高清],http://123.112.210.212:4022/udp/239.3.1.112:8001
淘娱乐[高清],http://123.112.210.212:4022/udp/239.3.1.100:8001
幸福娱乐[高清],http://123.112.210.212:4022/udp/239.3.1.113:8001
淘Baby[高清],http://123.112.210.212:4022/udp/239.3.1.238:8001
萌宠TV[高清],http://123.112.210.212:4022/udp/239.3.1.102:8001

百晓生┃卫视,#genre#

湖南卫视[高清],http://123.112.210.212:4022/udp/239.3.1.132:8012
东方卫视[高清],http://123.112.210.212:4022/udp/239.3.1.136:8032
浙江卫视[高清],http://123.112.210.212:4022/udp/239.3.1.137:8036
江苏卫视[高清],http://123.112.210.212:4022/udp/239.3.1.135:8028
深圳卫视[高清],http://123.112.210.212:4022/udp/239.3.1.134:8020
广东卫视[高清],http://123.112.210.212:4022/udp/239.3.1.142:8048
安徽卫视[高清],http://123.112.210.212:4022/udp/239.3.1.211:8064
天津卫视[高清],http://123.112.210.212:4022/udp/239.3.1.141:1234
重庆卫视[高清],http://123.112.210.212:4022/udp/239.3.1.122:8160
山东卫视[高清],http://123.112.210.212:4022/udp/239.3.1.209:8052
黑龙江卫视[高清],http://123.112.210.212:4022/udp/239.3.1.133:8016
河北卫视[高清],http://123.112.210.212:4022/udp/239.3.1.148:8072
辽宁卫视[高清],http://123.112.210.212:4022/udp/239.3.1.210:8056
